ubigeo_gestor,archivo_rel,n_filas
150115,Intersecciones\excels\LIMA-LIMA-LA_VICTORIA.xlsx,8
150116,Intersecciones\excels\LIMA-LIMA-LINCE.xlsx,8
150117,Intersecciones\excels\LIMA-LIMA-LOS_OLIVOS.xlsx,13
150118,Intersecciones\excels\LIMA-LIMA-LURIGANCHO.xlsx,15
150119,Intersecciones\excels\LIMA-LIMA-LURIN.xlsx,12
150120,Intersecciones\excels\LIMA-LIMA-MAGDALENA_DEL_MAR.xlsx,24
150121,Intersecciones\excels\LIMA-LIMA-PUEBLO_LIBRE.xlsx,11
150123,Intersecciones\excels\LIMA-LIMA-PACHACAMAC.xlsx,15
150125,Intersecciones\excels\LIMA-LIMA-PUENTE_PIEDRA.xlsx,13
150126,Intersecciones\excels\LIMA-LIMA-PUNTA_HERMOSA.xlsx,17
150128,Intersecciones\excels\LIMA-LIMA-RIMAC.xlsx,7
150130,Intersecciones\excels\LIMA-LIMA-SAN_BORJA.xlsx,8
150132,Intersecciones\excels\LIMA-LIMA-SAN_JUAN_DE_LURIGANCHO.xlsx,27
150133,Intersecciones\excels\LIMA-LIMA-SAN_JUAN_DE_MIRAFLORES.xlsx,10
150134,Intersecciones\excels\LIMA-LIMA-SAN_LUIS.xlsx,6
150135,Intersecciones\excels\LIMA-LIMA-SAN_MARTIN_DE_PORRES.xlsx,16
150137,Intersecciones\excels\LIMA-LIMA-SANTA_ANITA.xlsx,11
150140,Intersecciones\excels\LIMA-LIMA-SANTIAGO_DE_SURCO.xlsx,8
150141,Intersecciones\excels\LIMA-LIMA-SURQUILLO.xlsx,8
150142,Intersecciones\excels\LIMA-LIMA-VILLA_EL_SALVADOR.xlsx,21
150143,Intersecciones\excels\LIMA-LIMA-VILLA_MARIA_DEL_TRIUNFO.xlsx,10
150201,Intersecciones\excels\LIMA-BARRANCA-BARRANCA.xlsx,17
150204,Intersecciones\excels\LIMA-BARRANCA-SUPE.xlsx,10
150501,Intersecciones\excels\LIMA-CAÑETE-SAN_VICENTE_DE_CAÑETE.xlsx,11
150509,Intersecciones\excels\LIMA-CAÑETE-MALA.xlsx,13
150601,Intersecciones\excels\LIMA-HUARAL-HUARAL.xlsx,11
150605,Intersecciones\excels\LIMA-HUARAL-CHANCAY.xlsx,9
150801,Intersecciones\excels\LIMA-HUAURA-HUACHO.xlsx,24
150805,Intersecciones\excels\LIMA-HUAURA-HUALMAY.xlsx,13
150810,Intersecciones\excels\LIMA-HUAURA-SANTA_MARIA.xlsx,14
150811,Intersecciones\excels\LIMA-HUAURA-SAYAN.xlsx,7
160101,Intersecciones\excels\LORETO-MAYNAS-IQUITOS.xlsx,13
160108,Intersecciones\excels\LORETO-MAYNAS-PUNCHANA.xlsx,8
160112,Intersecciones\excels\LORETO-MAYNAS-BELEN.xlsx,8
160113,Intersecciones\excels\LORETO-MAYNAS-SAN_JUAN_BAUTISTA.xlsx,10
160601,Intersecciones\excels\LORETO-UCAYALI-CONTAMANA.xlsx,13
170101,Intersecciones\excels\MADRE_DE_DIOS-TAMBOPATA-TAMBOPATA.xlsx,7
180101,Intersecciones\excels\MOQUEGUA-MARISCAL_NIETO-MOQUEGUA.xlsx,26
180301,Intersecciones\excels\MOQUEGUA-ILO-ILO.xlsx,7
190101,Intersecciones\excels\PASCO-PASCO-CHAUPIMARCA.xlsx,26
200101,Intersecciones\excels\PIURA-PIURA-PIURA.xlsx,23
200104,Intersecciones\excels\PIURA-PIURA-CASTILLA.xlsx,8
200105,Intersecciones\excels\PIURA-PIURA-CATACAOS.xlsx,29
200109,Intersecciones\excels\PIURA-PIURA-LA_ARENA.xlsx,10
200110,Intersecciones\excels\PIURA-PIURA-LA_UNION.xlsx,8
200115,Intersecciones\excels\PIURA-PIURA-VEINTISEIS_DE_OCTUBRE.xlsx,8
200202,Intersecciones\excels\PIURA-AYABACA-FRIAS.xlsx,27
200208,Intersecciones\excels\PIURA-AYABACA-SAPILLICA.xlsx,22
200401,Intersecciones\excels\PIURA-MORROPON-CHULUCANAS.xlsx,15
200405,Intersecciones\excels\PIURA-MORROPON-MORROPON.xlsx,15
200601,Intersecciones\excels\PIURA-SULLANA-SULLANA.xlsx,10
200605,Intersecciones\excels\PIURA-SULLANA-MARCAVELICA.xlsx,14
200701,Intersecciones\excels\PIURA-TALARA-PARIÑAS.xlsx,42
200705,Intersecciones\excels\PIURA-TALARA-LOS_ORGANOS.xlsx,18
200706,Intersecciones\excels\PIURA-TALARA-MANCORA.xlsx,26
200801,Intersecciones\excels\PIURA-SECHURA-SECHURA.xlsx,23
200805,Intersecciones\excels\PIURA-SECHURA-VICE.xlsx,15
210101,Intersecciones\excels\PUNO-PUNO-PUNO.xlsx,25
210102,Intersecciones\excels\PUNO-PUNO-ACORA.xlsx,22
210301,Intersecciones\excels\PUNO-CARABAYA-MACUSANI.xlsx,26
210401,Intersecciones\excels\PUNO-CHUCUITO-JULI.xlsx,13
210501,Intersecciones\excels\PUNO-EL_COLLAO-ILAVE.xlsx,9
210601,Intersecciones\excels\PUNO-HUANCANE-HUANCANE.xlsx,33
210607,Intersecciones\excels\PUNO-HUANCANE-TARACO.xlsx,19
210806,Intersecciones\excels\PUNO-MELGAR-NUÑOA.xlsx,35
211001,Intersecciones\excels\PUNO-SAN_ANTONIO_DE_PUTINA-PUTINA.xlsx,29
211002,Intersecciones\excels\PUNO-SAN_ANTONIO_DE_PUTINA-ANANEA.xlsx,13
211101,Intersecciones\excels\PUNO-SAN_ROMAN-JULIACA.xlsx,11
211105,Intersecciones\excels\PUNO-SAN_ROMAN-SAN_MIGUEL.xlsx,8
211201,Intersecciones\excels\PUNO-SANDIA-SANDIA.xlsx,15
