ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-729855;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8259037;-79.9258016;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-729445;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;-6.8127916;-79.911292;Calle 34 / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-352959;080906;CUSCO;LA CONVENCION;QUELLOUNO;-12.4331518;-72.3763548;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-644048;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9283822;-77.3083958;Jirón Arequipa / Jirón Bolívar;LOCAL;DISTRITAL;DISTRITAL;0
I-644050;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9270441;-77.3101608;Jirón Daniel Alcides Carrión / Jirón Ica;LOCAL;DISTRITAL;DISTRITAL;0
I-644053;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9275163;-77.3110908;Jirón Ica / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644056;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9247858;-77.3124544;Jirón Moquegua / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644071;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.916526;-77.3165485;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644072;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9163113;-77.31509;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644117;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9119479;-77.3163874;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644118;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9123933;-77.3172545;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644120;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.9131772;-77.3190066;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-644122;220804;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;-5.913598;-77.3199065;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-556578;210607;PUNO;HUANCANE;TARACO;-15.3089545;-69.937844;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-556577;210607;PUNO;HUANCANE;TARACO;-15.3043438;-69.93499;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-556581;210607;PUNO;HUANCANE;TARACO;-15.3202828;-69.9492528;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-573399;210607;PUNO;HUANCANE;TARACO;-15.3035608;-69.9624811;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-556575;210607;PUNO;HUANCANE;TARACO;-15.3234404;-69.9709059;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-556567;210607;PUNO;HUANCANE;TARACO;-15.3106035;-69.9711911;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-615574;120303;JUNIN;CHANCHAMAYO;PICHANAQUI;-10.916714;-74.7596132;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-324827;081306;CUSCO;URUBAMBA;OLLANTAYTAMBO;-13.3164094;-72.2530991;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-333625;081306;CUSCO;URUBAMBA;OLLANTAYTAMBO;-13.2125415;-72.3724086;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-615789;120303;JUNIN;CHANCHAMAYO;PICHANAQUI;-10.9040831;-74.7350977;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-615790;120303;JUNIN;CHANCHAMAYO;PICHANAQUI;-10.89448;-74.7156516;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-615792;120303;JUNIN;CHANCHAMAYO;PICHANAQUI;-10.9030875;-74.7355323;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-333626;081306;CUSCO;URUBAMBA;OLLANTAYTAMBO;-13.2119853;-72.3690585;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-333627;081306;CUSCO;URUBAMBA;OLLANTAYTAMBO;-13.2103391;-72.3769983;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;0
I-36514;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8810798;-79.8659454;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-710714;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8475177;-79.8352563;Avenida Central / Calle 22;LOCAL;DISTRITAL;DISTRITAL;0
I-710716;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8494182;-79.8344326;Calle 22 / Calle 3;LOCAL;DISTRITAL;DISTRITAL;0
I-710717;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8484138;-79.8348846;Calle 20 / Calle 22;LOCAL;DISTRITAL;DISTRITAL;0
I-710720;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8471987;-79.8379334;Avenida Central / Carretera El Sol;LOCAL;DISTRITAL;DISTRITAL;0
I-710722;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8474087;-79.8362051;Avenida Central / Calle 23;LOCAL;DISTRITAL;DISTRITAL;0
I-710736;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8450897;-79.8386089;Calle 1B / Carretera El Sol;LOCAL;DISTRITAL;DISTRITAL;0
I-710726;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8481259;-79.8373325;Calle 21 / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-710709;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8512566;-79.832738;Calle 2 / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-710705;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8509391;-79.8318111;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-710683;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8457576;-79.8340654;Calle 4 / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-710684;140108;LAMBAYEQUE;CHICLAYO;MONSEFU;-6.8448182;-79.8335179;Calle 3 / Calle 4;LOCAL;DISTRITAL;DISTRITAL;0
I-591678;110112;ICA;ICA;SUBTANJALLA;-14.0364986;-75.7700478;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591680;110112;ICA;ICA;SUBTANJALLA;-14.0357492;-75.7705727;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591689;110112;ICA;ICA;SUBTANJALLA;-14.0314412;-75.7720409;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591690;110112;ICA;ICA;SUBTANJALLA;-14.0278405;-75.7759011;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-4;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;-6.0486163;-76.9913323;Calle s / n / Calle s / n;VECINAL;PROVINCIAL;PROVINCIAL;0
I-591699;110112;ICA;ICA;SUBTANJALLA;-14.0366485;-75.7738932;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591702;110112;ICA;ICA;SUBTANJALLA;-14.0337733;-75.7721806;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
I-591705;110112;ICA;ICA;SUBTANJALLA;-14.032933;-75.7725956;Calle s / n / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;0
